0.090;0.002;0.050;0.032;0.136;0.008;0.016;0.010;0.082;0.000;0.000;0.054;0.034;0.076;0.108;0.040;0.004;0.048;0.064;0.068;0.050;0.026;0.000;0.000;0.000;0.002;it
0.142;0.020;0.034;0.048;0.120;0.008;0.022;0.008;0.056;0.000;0.000;0.046;0.060;0.052;0.102;0.032;0.004;0.074;0.086;0.042;0.036;0.008;0.000;0.000;0.000;0.000;pt
0.142;0.020;0.048;0.056;0.160;0.008;0.008;0.012;0.052;0.006;0.000;0.048;0.026;0.104;0.078;0.026;0.004;0.054;0.046;0.012;0.048;0.022;0.000;0.000;0.010;0.010;es
0.096;0.006;0.030;0.028;0.112;0.030;0.018;0.048;0.056;0.000;0.000;0.034;0.020;0.084;0.088;0.028;0.000;0.092;0.056;0.096;0.024;0.012;0.028;0.002;0.012;0.000;en
0.108;0.012;0.046;0.030;0.090;0.002;0.012;0.016;0.098;0.026;0.020;0.038;0.036;0.072;0.078;0.032;0.000;0.046;0.050;0.030;0.018;0.000;0.034;0.000;0.036;0.070;pl
0.108;0.012;0.048;0.040;0.142;0.008;0.016;0.004;0.080;0.000;0.000;0.084;0.038;0.060;0.096;0.032;0.012;0.062;0.038;0.066;0.036;0.006;0.000;0.000;0.000;0.012;it
0.102;0.006;0.060;0.020;0.116;0.004;0.022;0.016;0.068;0.016;0.034;0.038;0.026;0.078;0.076;0.030;0.000;0.046;0.040;0.048;0.028;0.002;0.032;0.000;0.038;0.054;pl
0.144;0.012;0.038;0.052;0.112;0.006;0.014;0.004;0.070;0.002;0.000;0.060;0.030;0.060;0.086;0.040;0.018;0.048;0.058;0.070;0.064;0.004;0.000;0.000;0.006;0.002;es
0.088;0.016;0.034;0.036;0.116;0.026;0.022;0.032;0.090;0.002;0.004;0.040;0.026;0.068;0.070;0.016;0.002;0.076;0.066;0.092;0.040;0.012;0.016;0.000;0.006;0.004;en
0.104;0.002;0.048;0.026;0.114;0.020;0.010;0.006;0.128;0.000;0.000;0.062;0.040;0.070;0.082;0.030;0.002;0.080;0.032;0.082;0.030;0.010;0.000;0.000;0.000;0.022;it
0.110;0.006;0.050;0.052;0.118;0.006;0.012;0.004;0.126;0.000;0.002;0.066;0.038;0.060;0.090;0.028;0.010;0.042;0.056;0.066;0.032;0.016;0.000;0.000;0.000;0.010;it
0.098;0.018;0.036;0.034;0.104;0.008;0.016;0.008;0.086;0.014;0.016;0.048;0.022;0.074;0.064;0.050;0.000;0.044;0.050;0.050;0.020;0.000;0.030;0.000;0.052;0.058;pl
0.142;0.012;0.040;0.036;0.098;0.014;0.014;0.000;0.072;0.000;0.000;0.058;0.022;0.082;0.094;0.030;0.006;0.052;0.100;0.064;0.044;0.008;0.000;0.002;0.006;0.004;es
0.084;0.014;0.064;0.052;0.156;0.006;0.010;0.006;0.084;0.000;0.002;0.040;0.030;0.080;0.092;0.026;0.010;0.062;0.072;0.044;0.038;0.018;0.000;0.000;0.010;0.000;es
0.130;0.014;0.040;0.070;0.140;0.008;0.018;0.010;0.076;0.002;0.004;0.066;0.022;0.084;0.066;0.020;0.000;0.070;0.050;0.030;0.044;0.024;0.002;0.000;0.006;0.004;es
0.138;0.010;0.048;0.070;0.146;0.010;0.018;0.008;0.086;0.004;0.000;0.020;0.050;0.058;0.086;0.024;0.012;0.060;0.070;0.036;0.032;0.012;0.000;0.000;0.000;0.002;pt
0.124;0.020;0.032;0.042;0.120;0.020;0.014;0.032;0.058;0.000;0.004;0.046;0.018;0.066;0.080;0.018;0.000;0.058;0.058;0.102;0.024;0.014;0.020;0.004;0.020;0.006;en
0.072;0.010;0.056;0.036;0.142;0.018;0.008;0.036;0.056;0.000;0.000;0.060;0.028;0.062;0.080;0.024;0.004;0.082;0.054;0.094;0.042;0.002;0.016;0.000;0.012;0.006;en
0.116;0.006;0.040;0.044;0.114;0.010;0.030;0.006;0.066;0.004;0.000;0.076;0.042;0.070;0.102;0.022;0.002;0.058;0.086;0.028;0.054;0.004;0.000;0.000;0.012;0.008;es
0.120;0.004;0.044;0.032;0.140;0.010;0.014;0.016;0.090;0.000;0.000;0.070;0.026;0.068;0.088;0.028;0.016;0.044;0.066;0.068;0.028;0.010;0.000;0.000;0.008;0.010;it
0.112;0.016;0.040;0.042;0.142;0.010;0.016;0.008;0.088;0.000;0.000;0.008;0.048;0.056;0.100;0.040;0.008;0.076;0.106;0.040;0.028;0.012;0.000;0.004;0.000;0.000;pt
0.152;0.010;0.048;0.054;0.108;0.010;0.018;0.006;0.092;0.000;0.000;0.020;0.032;0.054;0.086;0.030;0.010;0.074;0.076;0.058;0.048;0.008;0.000;0.002;0.000;0.004;pt
0.088;0.012;0.036;0.034;0.120;0.038;0.014;0.020;0.064;0.002;0.004;0.028;0.024;0.062;0.094;0.024;0.006;0.092;0.062;0.084;0.038;0.014;0.022;0.004;0.014;0.000;en
0.086;0.008;0.036;0.048;0.094;0.026;0.032;0.028;0.074;0.000;0.004;0.050;0.030;0.076;0.092;0.010;0.000;0.068;0.086;0.080;0.034;0.006;0.022;0.004;0.004;0.002;en
0.126;0.002;0.040;0.024;0.092;0.006;0.012;0.006;0.068;0.022;0.024;0.078;0.024;0.080;0.084;0.044;0.000;0.034;0.040;0.072;0.020;0.000;0.024;0.000;0.034;0.044;pl
0.082;0.008;0.044;0.030;0.108;0.004;0.012;0.008;0.096;0.012;0.044;0.050;0.060;0.044;0.080;0.026;0.000;0.038;0.056;0.040;0.022;0.000;0.034;0.000;0.034;0.068;pl
0.122;0.008;0.062;0.026;0.142;0.016;0.008;0.012;0.100;0.000;0.000;0.082;0.032;0.072;0.076;0.014;0.018;0.040;0.046;0.070;0.038;0.010;0.000;0.000;0.000;0.006;it
0.096;0.010;0.040;0.032;0.112;0.000;0.020;0.008;0.094;0.038;0.032;0.046;0.018;0.090;0.088;0.022;0.000;0.038;0.052;0.032;0.028;0.000;0.044;0.000;0.024;0.036;pl
0.118;0.022;0.034;0.072;0.166;0.002;0.008;0.006;0.064;0.008;0.000;0.078;0.024;0.060;0.082;0.026;0.004;0.058;0.078;0.042;0.028;0.014;0.000;0.000;0.006;0.000;es
0.172;0.006;0.038;0.012;0.040;0.010;0.000;0.006;0.052;0.030;0.062;0.070;0.026;0.058;0.044;0.064;0.000;0.034;0.046;0.078;0.018;0.000;0.018;0.000;0.082;0.034;pl
0.096;0.008;0.058;0.040;0.112;0.032;0.028;0.052;0.096;0.000;0.004;0.016;0.026;0.090;0.068;0.024;0.000;0.052;0.042;0.092;0.012;0.022;0.020;0.000;0.008;0.002;en
0.130;0.006;0.052;0.068;0.144;0.008;0.006;0.004;0.056;0.002;0.000;0.020;0.048;0.060;0.090;0.034;0.008;0.078;0.080;0.046;0.044;0.012;0.000;0.002;0.000;0.002;pt
0.104;0.018;0.064;0.022;0.068;0.002;0.032;0.014;0.058;0.018;0.034;0.032;0.036;0.066;0.082;0.032;0.000;0.042;0.082;0.048;0.020;0.000;0.034;0.000;0.030;0.062;pl
0.076;0.018;0.048;0.048;0.138;0.018;0.008;0.032;0.082;0.000;0.002;0.046;0.020;0.068;0.064;0.028;0.002;0.058;0.076;0.100;0.028;0.010;0.016;0.000;0.012;0.002;en
0.140;0.014;0.042;0.060;0.124;0.012;0.014;0.004;0.066;0.000;0.000;0.022;0.050;0.032;0.106;0.020;0.016;0.084;0.088;0.038;0.050;0.012;0.000;0.004;0.000;0.002;pt
0.088;0.022;0.012;0.032;0.110;0.028;0.018;0.038;0.078;0.002;0.004;0.026;0.030;0.078;0.078;0.022;0.000;0.086;0.058;0.108;0.030;0.012;0.020;0.000;0.018;0.002;en
0.118;0.000;0.048;0.022;0.124;0.010;0.030;0.012;0.098;0.000;0.000;0.060;0.026;0.052;0.098;0.034;0.000;0.050;0.088;0.062;0.032;0.030;0.000;0.002;0.002;0.002;it
0.082;0.014;0.022;0.044;0.136;0.012;0.014;0.034;0.054;0.000;0.008;0.040;0.034;0.082;0.072;0.026;0.000;0.076;0.054;0.108;0.016;0.016;0.032;0.008;0.016;0.000;en
0.094;0.008;0.040;0.044;0.112;0.026;0.024;0.032;0.100;0.000;0.000;0.044;0.026;0.084;0.072;0.024;0.000;0.076;0.052;0.082;0.022;0.006;0.022;0.000;0.010;0.000;en
0.090;0.006;0.032;0.046;0.094;0.000;0.018;0.016;0.074;0.038;0.028;0.034;0.034;0.082;0.098;0.028;0.000;0.042;0.060;0.042;0.022;0.000;0.020;0.000;0.032;0.064;pl
0.084;0.020;0.042;0.028;0.102;0.014;0.018;0.010;0.090;0.014;0.040;0.028;0.034;0.052;0.084;0.008;0.000;0.042;0.060;0.040;0.014;0.000;0.054;0.000;0.054;0.068;pl
0.132;0.004;0.038;0.062;0.116;0.012;0.020;0.002;0.090;0.000;0.000;0.022;0.040;0.062;0.096;0.020;0.022;0.050;0.098;0.036;0.058;0.014;0.000;0.000;0.000;0.006;pt
0.146;0.004;0.042;0.036;0.114;0.010;0.008;0.002;0.090;0.002;0.004;0.074;0.018;0.048;0.064;0.052;0.010;0.068;0.046;0.076;0.026;0.020;0.000;0.000;0.012;0.028;it
0.132;0.006;0.056;0.054;0.132;0.004;0.018;0.012;0.082;0.002;0.000;0.032;0.036;0.040;0.086;0.024;0.010;0.048;0.110;0.052;0.050;0.008;0.000;0.002;0.000;0.004;pt
0.120;0.006;0.058;0.060;0.132;0.024;0.012;0.002;0.054;0.002;0.000;0.026;0.042;0.050;0.120;0.028;0.006;0.068;0.102;0.048;0.022;0.014;0.000;0.002;0.000;0.002;pt
0.064;0.006;0.026;0.036;0.140;0.024;0.014;0.034;0.058;0.000;0.000;0.082;0.024;0.036;0.026;0.032;0.002;0.050;0.094;0.132;0.024;0.024;0.012;0.024;0.036;0.000;en
0.082;0.022;0.040;0.040;0.120;0.034;0.018;0.040;0.074;0.000;0.008;0.052;0.036;0.076;0.044;0.016;0.002;0.074;0.070;0.076;0.030;0.008;0.012;0.000;0.022;0.004;en
0.082;0.004;0.044;0.056;0.166;0.010;0.010;0.010;0.080;0.000;0.000;0.060;0.018;0.076;0.062;0.026;0.006;0.066;0.080;0.080;0.054;0.004;0.000;0.004;0.002;0.000;fr
0.120;0.010;0.066;0.036;0.142;0.006;0.012;0.004;0.066;0.000;0.002;0.052;0.030;0.072;0.092;0.016;0.012;0.048;0.094;0.030;0.056;0.018;0.000;0.000;0.012;0.004;es
0.064;0.010;0.026;0.040;0.188;0.004;0.018;0.012;0.072;0.002;0.002;0.096;0.018;0.072;0.074;0.028;0.010;0.060;0.078;0.060;0.046;0.010;0.000;0.002;0.008;0.000;fr
0.124;0.010;0.038;0.052;0.166;0.014;0.014;0.006;0.052;0.002;0.000;0.066;0.028;0.062;0.070;0.024;0.008;0.054;0.088;0.052;0.054;0.004;0.000;0.002;0.010;0.000;es
0.086;0.010;0.046;0.036;0.146;0.018;0.008;0.048;0.058;0.000;0.000;0.048;0.026;0.042;0.054;0.018;0.006;0.078;0.090;0.092;0.040;0.006;0.016;0.006;0.022;0.000;en
0.094;0.014;0.040;0.018;0.086;0.006;0.018;0.014;0.070;0.022;0.054;0.052;0.036;0.054;0.080;0.042;0.000;0.054;0.050;0.034;0.032;0.000;0.050;0.000;0.044;0.036;pl
0.144;0.016;0.034;0.062;0.114;0.008;0.020;0.008;0.090;0.008;0.002;0.024;0.042;0.040;0.090;0.020;0.004;0.070;0.104;0.028;0.048;0.012;0.000;0.006;0.000;0.006;pt
